year,month,wind_speed_mean,d2m_mean,t2m_mean,decade
1940,01,2.660757064819336,288.97357177734375,296.5503845214844,1940
1940,07,9.636658668518066,297.01080322265625,299.48358154296875,1940
1941,01,4.347218990325928,286.02618408203125,296.41796875,1940
1941,07,9.12148666381836,296.7277526855469,299.6329650878906,1940
1942,01,3.1942696571350098,286.7700500488281,296.9746398925781,1940
1942,07,8.85263442993164,296.4474182128906,298.71722412109375,1940
1943,01,3.693587064743042,288.5617980957031,297.1868591308594,1940
1943,07,9.257471084594727,296.36297607421875,298.5796203613281,1940
1944,01,3.4746999740600586,288.5135192871094,296.9669494628906,1940
1944,07,9.071172714233398,296.80242919921875,299.135009765625,1940
1945,01,3.4546475410461426,287.79901123046875,295.81866455078125,1940
1945,07,7.356612682342529,296.7131652832031,298.9306640625,1940
1946,01,3.6778852939605713,286.2562255859375,297.20849609375,1940
1946,07,8.368657112121582,296.9918212890625,299.2305603027344,1940
1947,01,2.8046271800994873,289.2309875488281,296.8890380859375,1940
1947,07,7.903886795043945,297.0965576171875,299.3896789550781,1940
1948,01,2.9549241065979004,289.7610168457031,296.38775634765625,1940
1948,07,7.462780475616455,297.1490173339844,299.2915954589844,1940
1949,01,3.3730127811431885,289.0120849609375,296.31719970703125,1940
1949,07,6.7904510498046875,296.84600830078125,299.0684509277344,1940
1950,01,3.5406370162963867,289.48907470703125,296.7718811035156,1950
1950,07,8.30770492553711,296.55572509765625,298.61724853515625,1950
1951,01,3.716326951980591,287.9112854003906,295.9054260253906,1950
1951,07,6.6201629638671875,296.6354064941406,298.9840087890625,1950
1952,01,2.8230130672454834,289.2129211425781,296.2865905761719,1950
1952,07,7.036910533905029,296.70904541015625,299.0531311035156,1950
1953,01,3.8063204288482666,287.36663818359375,295.60284423828125,1950
1953,07,6.209873199462891,296.3373718261719,298.81573486328125,1950
1954,01,4.229381084442139,287.2462463378906,296.67120361328125,1950
1954,07,7.321988105773926,296.743408203125,299.0094909667969,1950
1955,01,3.5866901874542236,288.3489685058594,297.3038330078125,1950
1955,07,7.1331868171691895,296.74981689453125,299.3677062988281,1950
1956,01,3.150557279586792,288.12945556640625,296.6273193359375,1950
1956,07,8.248674392700195,296.2655029296875,298.6416015625,1950
1957,01,3.760591983795166,288.4524841308594,296.52117919921875,1950
1957,07,8.033095359802246,297.1065673828125,299.5687255859375,1950
1958,01,3.5414068698883057,289.7044372558594,298.00274658203125,1950
1958,07,8.394603729248047,297.2787780761719,299.6533508300781,1950
1959,01,3.703817367553711,288.78619384765625,296.7013244628906,1950
1959,07,8.682169914245605,296.970458984375,299.26275634765625,1950
1960,01,3.8725051879882812,288.5989074707031,296.88897705078125,1960
1960,07,6.6538801193237305,297.1424255371094,299.68743896484375,1960
1961,01,3.744539737701416,288.823974609375,297.5233459472656,1960
1961,07,8.76305866241455,297.0673522949219,299.299560546875,1960
1962,01,4.135838031768799,286.6553955078125,295.945556640625,1960
1962,07,8.111710548400879,297.0927429199219,299.60308837890625,1960
1963,01,3.498213291168213,288.63519287109375,297.67645263671875,1960
1963,07,7.37960958480835,297.2292785644531,299.7049865722656,1960
1964,01,4.659551620483398,287.2699279785156,296.5503234863281,1960
1964,07,6.094828128814697,296.9696044921875,299.3967590332031,1960
1965,01,3.2149362564086914,289.5263671875,297.7043762207031,1960
1965,07,8.90065860748291,296.783935546875,299.3176574707031,1960
1966,01,2.894551992416382,288.8683776855469,297.2965087890625,1960
1966,07,6.945770740509033,297.2021179199219,299.8313293457031,1960
1967,01,4.902535438537598,287.48150634765625,296.76153564453125,1960
1967,07,8.042182922363281,297.05743408203125,299.5397033691406,1960
1968,01,3.7018256187438965,288.1418151855469,296.0332946777344,1960
1968,07,7.777669429779053,297.18426513671875,299.6424255371094,1960
1969,01,3.5737383365631104,288.53924560546875,297.0113830566406,1960
1969,07,7.534275054931641,297.2230529785156,299.63311767578125,1960
1970,01,3.3195366859436035,288.2916259765625,296.8196105957031,1970
1970,07,7.461668491363525,297.1952209472656,299.60723876953125,1970
1971,01,3.7013914585113525,287.6042175292969,296.1582946777344,1970
1971,07,7.469520568847656,296.8302307128906,299.3812255859375,1970
1972,01,3.8942911624908447,288.4101257324219,297.1997985839844,1970
1972,07,7.883014678955078,297.11810302734375,299.7735595703125,1970
1973,01,4.2869415283203125,287.7514343261719,296.3697814941406,1970
1973,07,7.923259258270264,296.8390808105469,299.2371826171875,1970
1974,01,3.9692940711975098,288.81976318359375,296.95916748046875,1970
1974,07,7.098221778869629,297.19256591796875,299.6715393066406,1970
1975,01,4.235296249389648,288.0541687011719,296.1552429199219,1970
1975,07,6.074541091918945,296.9172058105469,299.4299011230469,1970
1976,01,3.493198871612549,288.7583312988281,296.33428955078125,1970
1976,07,7.42221212387085,297.3931579589844,299.8819274902344,1970
1977,01,3.7774407863616943,288.5035095214844,296.68560791015625,1970
1977,07,7.688388824462891,297.2155456542969,299.5357666015625,1970
1978,01,4.1417741775512695,288.226318359375,296.68243408203125,1970
1978,07,7.142611026763916,296.8667297363281,299.35882568359375,1970
1979,01,3.675682783126831,290.0455017089844,296.99078369140625,1970
1979,07,6.764631271362305,297.2210998535156,299.846435546875,1970
1980,01,3.7789306640625,289.2535400390625,296.7899169921875,1980
1980,07,8.14430046081543,297.0914611816406,299.6202697753906,1980
1981,01,3.8832199573516846,288.81463623046875,296.5677795410156,1980
1981,07,7.827446460723877,297.0504455566406,299.4934387207031,1980
1982,01,3.044443130493164,289.8893737792969,296.5080261230469,1980
1982,07,7.028140544891357,297.3448486328125,299.8868713378906,1980
1983,01,3.952603816986084,288.7278747558594,296.3995666503906,1980
1983,07,6.622790813446045,297.5932312011719,299.8752136230469,1980
1984,01,3.9656922817230225,287.70281982421875,295.65472412109375,1980
1984,07,7.254873752593994,296.56878662109375,299.2044372558594,1980
1985,01,3.953204393386841,288.8495178222656,296.6773376464844,1980
1985,07,7.604748249053955,296.6214599609375,299.16815185546875,1980
1986,01,3.3974521160125732,288.88726806640625,296.8248596191406,1980
1986,07,7.885625839233398,296.7125244140625,299.5403137207031,1980
1987,01,3.600886821746826,289.40948486328125,296.9544982910156,1980
1987,07,6.977311134338379,297.4772644042969,300.2235412597656,1980
1988,01,3.3127739429473877,289.956298828125,297.988525390625,1980
1988,07,7.6023712158203125,297.41107177734375,299.8126220703125,1980
1989,01,4.205091953277588,288.75982666015625,296.7349548339844,1980
1989,07,7.172893524169922,296.9034423828125,299.4616394042969,1980
1990,01,3.9800069332122803,289.55377197265625,297.976806640625,1990
1990,07,8.52817153930664,296.83929443359375,299.4703063964844,1990
1991,01,4.349090099334717,288.5370788574219,296.40814208984375,1990
1991,07,8.247915267944336,297.16754150390625,299.63031005859375,1990
1992,01,3.5954840183258057,288.86712646484375,296.722900390625,1990
1992,07,7.052096366882324,297.2328796386719,299.90020751953125,1990
1993,01,4.3849382400512695,289.4269104003906,297.23077392578125,1990
1993,07,7.636160850524902,297.406005859375,299.9847106933594,1990
1994,01,3.605893611907959,289.817138671875,297.2520446777344,1990
1994,07,8.764344215393066,296.9648132324219,299.34088134765625,1990
1995,01,4.140924453735352,288.0718688964844,296.0846252441406,1990
1995,07,7.264632701873779,297.3785705566406,299.804443359375,1990
1996,01,3.7985386848449707,290.0028076171875,296.9566650390625,1990
1996,07,7.128819465637207,296.9980163574219,299.4320373535156,1990
1997,01,3.886376142501831,288.27569580078125,296.48974609375,1990
1997,07,7.902939796447754,297.5978698730469,300.05548095703125,1990
1998,01,3.6008126735687256,290.0414733886719,297.1645812988281,1990
1998,07,6.9671311378479,297.51568603515625,300.0696716308594,1990
1999,01,3.86150860786438,288.49505615234375,296.33819580078125,1990
1999,07,7.75926399230957,296.9437255859375,299.4813537597656,1990
2000,01,4.0561628341674805,289.7201232910156,297.3748779296875,2000
2000,07,7.603568077087402,296.76983642578125,299.59423828125,2000
2001,01,4.239725589752197,289.00494384765625,296.9627990722656,2000
2001,07,7.744349479675293,296.8045959472656,299.31219482421875,2000
2002,01,4.184952259063721,287.9512634277344,296.6307678222656,2000
2002,07,7.833281993865967,296.9339294433594,300.07073974609375,2000
2003,01,3.7820663452148438,290.2126159667969,297.71478271484375,2000
2003,07,6.907674312591553,297.4075622558594,299.8962707519531,2000
2004,01,3.774916887283325,289.1094055175781,297.0269775390625,2000
2004,07,6.283400058746338,296.9595642089844,299.65472412109375,2000
2005,01,4.383825302124023,288.2846374511719,296.5205078125,2000
2005,07,7.317737102508545,297.3613586425781,299.9864196777344,2000
2006,01,4.259400844573975,289.12982177734375,297.23382568359375,2000
2006,07,8.949640274047852,297.07177734375,299.5925598144531,2000
2007,01,4.2076873779296875,290.19219970703125,297.6734619140625,2000
2007,07,7.21560525894165,297.4512023925781,300.0976257324219,2000
2008,01,4.33799934387207,288.4434509277344,296.5640869140625,2000
2008,07,7.153124809265137,297.0344543457031,299.7447814941406,2000
2009,01,3.6181299686431885,290.7918395996094,298.1390686035156,2000
2009,07,8.284172058105469,297.291748046875,299.6522521972656,2000
2010,01,3.748528003692627,290.3870544433594,297.94769287109375,2010
2010,07,7.056891918182373,297.48223876953125,299.89678955078125,2010
2011,01,4.176428318023682,288.7198486328125,296.76983642578125,2010
2011,07,6.591380596160889,297.2347106933594,299.5100402832031,2010
2012,01,4.36412239074707,287.83514404296875,296.0837097167969,2010
2012,07,7.129729747772217,297.29962158203125,299.9614562988281,2010
2013,01,3.9997236728668213,288.8280334472656,296.842041015625,2010
2013,07,8.289515495300293,296.7407531738281,299.1021423339844,2010
2014,01,3.9026002883911133,289.58026123046875,296.7745666503906,2010
2014,07,7.855945110321045,297.18963623046875,299.8031921386719,2010
2015,01,4.086968421936035,289.2809753417969,296.7343444824219,2010
2015,07,7.646322727203369,297.3263854980469,300.2617492675781,2010
2016,01,3.8159613609313965,289.2851867675781,297.4762268066406,2010
2016,07,7.165860652923584,297.1947326660156,299.6297607421875,2010
2017,01,3.830331563949585,289.7943115234375,297.18304443359375,2010
2017,07,7.961153507232666,297.36474609375,299.8810119628906,2010
2018,01,3.3627185821533203,290.10614013671875,297.2902526855469,2010
2018,07,8.424930572509766,297.19891357421875,299.7281494140625,2010
2019,01,4.384701251983643,288.64544677734375,296.73480224609375,2010
2019,07,6.813229560852051,297.6983642578125,300.0770263671875,2010
2020,01,3.930081605911255,290.4264831542969,296.7574462890625,2020
2020,07,5.712406158447266,297.8086242675781,300.31427001953125,2020
2021,01,4.024503231048584,291.4375,297.8713684082031,2020
2021,07,7.349375247955322,297.4428405761719,300.2854919433594,2020
2022,01,3.8256800174713135,289.7527770996094,296.2752380371094,2020
2022,07,7.480258941650391,297.1055603027344,299.6952819824219,2020
2023,01,4.232518196105957,289.50384521484375,296.6126403808594,2020
2023,07,7.743653774261475,297.61883544921875,299.85638427734375,2020
2024,01,3.9014081954956055,290.6068115234375,297.9396667480469,2020
2024,07,8.4861478805542,298.063232421875,300.3503112792969,2020
2025,01,4.028027534484863,291.1766357421875,298.0345458984375,2020
2025,07,7.9264702796936035,297.3919372558594,299.9031066894531,2020
